Player,Games_Played,Minutes_Played,Points,Field_Goals_Made,Field_Goals_Attempted,Field_Goal_Percentage
LeBron James,1430,54407,38879,14239,28197,50.5
Kareem Abdul-Jabbar,1560,57446,38387,15837,28307,55.9
Karl Malone,1476,54852,36928,13528,26210,51.6
Kobe Bryant,1346,48643,33643,11719,26200,44.7
Michael Jordan,1072,41010,32292,12192,24537,49.7
Dirk Nowitzki,1522,51367,31560,11169,23734,47.1
Wilt Chamberlain,1045,47859,31419,12681,23497,54
Shaquille O'Neal,1207,41917,28596,11330,19457,58.2
Carmelo Anthony,1260,43513,28289,10119,22643,44.7
Moses Malone,1329,45071,27409,9435,19225,49.1
Elvin Hayes,1303,50000,27313,10976,24272,45.2
Kevin Durant,995,36512,27164,9293,18624,49.9
Hakeem Olajuwon,1238,44218,26946,10749,20991,51.2
Oscar Robertson,1040,43886,26710,9508,19620,48.5
Dominique Wilkins,1074,38115,26668,9963,21589,46.1
Tim Duncan,1392,47367,26496,10285,20334,50.6
Paul Pierce,1343,45879,26397,8668,19465,44.5
John Havlicek,1270,46471,26395,10513,23930,43.9
Kevin Garnett,1462,50412,26071,10505,21142,49.7
Vince Carter,1541,46370,25728,9293,21339,43.5
Alex English,1193,38063,25613,10659,21036,50.7
Reggie Miller,1389,47620,25279,8241,17499,47.1
Jerry West,932,36571,25192,9016,19032,47.4
Patrick Ewing,1183,40594,24815,9702,19241,50.4
James Harden,1003,34848,24736,7304,16517,44.2
Russell Westbrook,1102,37803,24577,8805,20100,43.8
Ray Allen,1300,46350,24505,8567,18955,45.2
Allen Iverson,914,37582,24368,8467,19906,42.5
Charles Barkley,1073,39331,23757,8435,15605,54.1
Robert Parish,1611,45704,23334,9614,17914,53.7
Adrian Dantley,955,34151,23177,8169,15121,54
Dwyane Wade,1054,35777,23165,8454,17617,48
Elgin Baylor,846,33863,23149,8693,20171,43.1
Clyde Drexler,1086,37538,22195,8335,17673,47.2
Stephen Curry,892,30624,22012,7528,15843,47.5
DeMar DeRozan,1040,35783,21878,7858,16808,46.8
Chris Paul,1224,42061,21843,7727,16394,47.1
Gary Payton,1335,47117,21813,8708,18698,46.6
Larry Bird,897,34443,21791,8591,17334,49.6
Hal Greer,1122,39788,21586,8504,18811,45.2
Walt Bellamy,1043,38940,20941,7914,15340,51.6
Pau Gasol,1226,41001,20894,7980,15729,50.7
Bob Pettit,792,30690,20880,7349,16872,43.6
David Robinson,987,34273,20790,7365,14221,51.8
George Gervin,791,26536,20708,8045,15747,51.1
LaMarcus Aldridge,1076,36243,20558,8311,16872,49.3
Mitch Richmond,976,34301,20497,7305,16038,45.5
Joe Johnson,1277,44235,20407,7823,17720,44.1
Tom Chambers,1107,33921,20049,7378,15749,46.8
Antawn Jamison,1083,37638,20042,7679,17024,45.1